row ID	#featureID	cluster.index	libraryID	smiles	cas	inchi	libraryID_analogue	smiles_analogue	cas_analogue	inchi_analogue	libraryID_NAP	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores	AllFiles	componentindex
1540	878.7422751091542_4.816432269503548	390										91	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoserines	Phosphatidylserines	Carbonyl group;Carboxylic acid derivative;Fatty acyl;Hydrocarbon derivative;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	1	1	0.5	0.5	0.5	0.5	0.032;0.032;0.032;0.032;0.032;0.032;0.024;0.032;0.024;0.032	GNPS_MS2_2iso.mgf:1540###	91
884	878.4913079670557_4.838193638676843	222										91	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoserines	Phosphatidylserines	Carbonyl group;Carboxylic acid derivative;Fatty acyl;Hydrocarbon derivative;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	1	1	0.5	0.5	0.5	0.5	0.032;0.032;0.032;0.032;0.032;0.032;0.024;0.032;0.024;0.032	GNPS_MS2_2iso.mgf:884###	91
1157	749.4547872828837_3.3464793396226393	288										89	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Phosphatidylcholines	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organic phosphoric acid derivative;Organooxygen compound;Phosphoric acid ester	1	1	1	0.667	0.5	0.5	0.045;0.045;0.038;0.03;0.045;0.045;0.045;0.03;0.045;0.03	GNPS_MS2_2iso.mgf:1157###	89
185	848.5238368476288_3.642685819892472	59										89	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Phosphatidylcholines	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organic phosphoric acid derivative;Organooxygen compound;Phosphoric acid ester	1	1	1	0.667	0.5	0.5	0.045;0.045;0.038;0.03;0.045;0.045;0.045;0.03;0.045;0.03	GNPS_MS2_2iso.mgf:185###	89
5677	427.3573426350216_9.91347875457874	1733					Spectral Match to (+)-.alpha.-Tocopherol from NIST14		59029		Spectral Match to (+)-.alpha.-Tocopherol from NIST14	88	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Stigmastanes and derivatives	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Hydroxysteroid;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	0.893	0.75	0.357	0.357	0.046;0.055;0.041;0.041;0.064;0.044;0.044;0.06;0.06;0.048	GNPS_MS2_2iso.mgf:5677###	88
834	429.3731519691622_10.518528528528533	213					Spectral Match to (+)-.alpha.-Tocopherol from NIST14		59029		Spectral Match to (+)-.alpha.-Tocopherol from NIST14	88	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Stigmastanes and derivatives	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Hydroxysteroid;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	0.893	0.75	0.357	0.357	0.046;0.055;0.041;0.041;0.064;0.044;0.044;0.06;0.06;0.048	GNPS_MS2_2iso.mgf:834###	88
1153	303.25295129805403_7.2080465170278645	287	Spectral Match to Glycerol 1-myristate from NIST14		589684		"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate"	CCCCCCCCCCCCCCCC(=O)OCC(O)CO		"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3"	"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate"	83	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	1	0.5	0.5	0.5	0.057;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.044	GNPS_MS2_2iso.mgf:1153###	83
633	331.2843066187457_6.541332610062897	158	"NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate"	CCCCCCCCCCCCCCCC(=O)OCC(O)CO		"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3"	"NCGC00347859-02!2,3-dihydroxypropyl 13-methyltetradecanoate"	CC(C)CCCCCCCCCCCC(=O)OCC(O)CO		"InChI=1S/C18H36O4/c1-16(2)12-10-8-6-4-3-5-7-9-11-13-18(21)22-15-17(20)14-19/h16-17,19-20H,3-15H2,1-2H3"	"NCGC00347859-02!2,3-dihydroxypropyl 13-methyltetradecanoate"	83	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	1	0.5	0.5	0.5	0.057;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.044	GNPS_MS2_2iso.mgf:633###	83
647	313.27386331030846_7.936077694235592	166	2-Palmitoyl-rac-glycerol	CCCCCCCCCCCCCCCC(=O)OC(CO)CO	23470000	"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-18(16-20)17-21/h18,20-21H,2-17H2,1H3"	Palmitic acid ethyl ester		628977		Palmitic acid ethyl ester	83	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	1	0.5	0.5	0.5	0.057;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.061;0.044	GNPS_MS2_2iso.mgf:647###	83
3017	166.08606615292123_0.4944698982188292	844	L-phenylalanine	 O=C(O)[C@@H](N)Cc1ccccc1	63-91-2	 	3-Nitroaniline	C1=CC(=CC(=C1)[N+](=O)[O-])N	99092	"InChI=1S/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2"	3-Nitroaniline	82	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	none	Phenylalanine and derivatives	Aromatic homomonocyclic compound;Carbonyl group;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	1	1	0.278	0.278	0.306	0.139	0.037;0.038;0.055;0.038;0.034;0.047;0.053;0.034;0.052;0.034	GNPS_MS2_2iso.mgf:3017###	82
