"MEturquoise"	"MEgreen"	"MEmagenta"	"MEbrown"	"MEyellow"	"MEblack"	"MEgreenyellow"	"MEred"	"MEblue"	"MEpink"	"MEpurple"
"MEcyan"	-0.000220092835866451	0.00276477557920941	0.00350606244363325	-0.00297736518533695	-0.00210776314484216	-0.017695358846032	-0.00247973180550052	0.0093267769969844	-0.00516048907340308	0.00197815733781088	-0.00573447528038646
"MEdarkmagenta"	-0.0265271293100655	0.055941631263437	0.102207445665371	0.0133700505617777	0.00635449137129936	0.0538007594014265	-0.0529916504593255	-0.0789580036316734	-0.026979511669053	-0.0248290090204352	-0.0382236019238609
"MElightcyan"	-0.0389621123417938	0.0844266445851614	0.0507167610106536	-0.036351216208723	0.103248617276334	-0.047114829470484	-0.0699478252469676	0.0184116215538908	0.00481744297309147	-0.0219181744458798	-0.0077946798178659
"MEmagenta"	-0.0524501768098767	0.0631409773938224	0.0502494194225131	-0.0111919823210307	0.0365550261255785	-0.0566118866700136	-0.0746461922587352	0.0323429748533952	0.0315590868708614	-0.0365177185056711	0.0405319242974826
"MEskyblue3"	-0.0293724871441557	0.00753845254655989	-0.0338835686264779	-0.0442725682250199	-0.0178579955350245	-0.0290894423934686	-0.0363379286694505	-0.0369404698264538	-0.0416423241199479	0.044904755158105	-0.0424419313009499
"MEmidnightblue"	-0.0174160571731184	-0.00763230309536289	-0.0356894084628961	0.0163414475999823	0.0126364697744924	-0.0446808990150052	-0.0913876776324747	-0.0771695777219002	-0.0498145839217732	-0.00637701980194598	-0.0836810277656921
"MEgrey60"	-0.0307645246090749	0.0902310228321643	-0.00880016686137119	0.063979761097186	0.106381563006835	-0.0544000976778934	-0.076853074361195	-0.0680053500372989	-0.03036322583537	-0.0641683383153584	-0.0504844451483296
"MEskyblue"	-0.0479923323169118	-0.0108792424101472	-0.0266306255795814	0.0323665979374522	-0.00965542729266017	-0.0598901372736522	-0.078718391735187	-0.0769371713503931	0.0146565970354263	-0.0603249315950444	-0.0533727845133429
"MEgreenyellow"	-0.0286238092492922	-0.0274316298707277	-0.00920457071964257	0.0440814854699862	-0.0165916185823605	-0.0970584815914306	-0.0869844090224536	-0.0869474168678322	0.0542734473619575	-0.0813988557287689	-0.0728064197379776
"MEviolet"	-0.0331610707779156	-0.0282775778113637	-0.0227544967947992	0.0469457408029186	-0.0384562586099545	-0.0574379809578595	-0.0538981764570911	-0.0594775534326193	0.0259552100394146	-0.0523610720756842	-0.0344271897040175
