"MEturquoise"	"MEgreen"	"MEmagenta"	"MEbrown"	"MEyellow"	"MEblack"	"MEgreenyellow"	"MEred"	"MEblue"	"MEpink"	"MEpurple"
"MEcyan"	0.996356395851062	0.954254396592344	0.942008431041607	0.950741215232007	0.965117254798614	0.713484069818952	0.958966308386766	0.846551078314591	0.914730967496542	0.967260946421895	0.905289026962949
"MEdarkmagenta"	0.581979871268306	0.245391966324908	0.0334847629990645	0.78145692975819	0.895104913870532	0.263954003392794	0.271214275746966	0.100834215381837	0.575556960901138	0.60638241710655	0.427560881974447
"MElightcyan"	0.418680516361439	0.0792831644344793	0.292352672500134	0.45055946999205	0.0317139457017077	0.328022226623859	0.146197992631829	0.702427294173006	0.920379813081329	0.649235930281568	0.871518180927332
"MEmagenta"	0.276148478159285	0.189726217907907	0.296828217087987	0.816363937520338	0.448022700969846	0.239772853649278	0.120911021132848	0.502065183859491	0.512489062378929	0.448486453698081	0.400167322667234
"MEskyblue3"	0.542148935855203	0.875706850584243	0.481909181837144	0.358074592434975	0.710968118832016	0.546049705003474	0.450725137530528	0.443247359528477	0.387373248426479	0.351245245662194	0.378315937628056
"MEmidnightblue"	0.717812041120718	0.874172221707268	0.458852475771329	0.734547065949763	0.793168583841664	0.353654039902617	0.0574153880902368	0.108814379735051	0.301033264636377	0.894735185572123	0.0819806719500345
"MEgrey60"	0.523168486823328	0.0606571049997189	0.855116744640278	0.183898815329501	0.0268602556844361	0.258662915211263	0.110277149868858	0.157760169742448	0.528605136125024	0.182607067155055	0.29457179259372
"MEskyblue"	0.319083440791221	0.821407805186367	0.580507493569739	0.501752796519333	0.8412144368483	0.21359260730732	0.101875622304779	0.109886980609239	0.761037419783322	0.210281016856446	0.267777482627156
"MEgreenyellow"	0.552496823908217	0.569171337956006	0.848537274466152	0.36015508476206	0.730639548943626	0.0435302682639596	0.0705715327766433	0.0706917072012625	0.259774862235126	0.0907008159716405	0.130373137265353
"MEviolet"	0.491306815494335	0.55731472224547	0.636796287847491	0.329763094504279	0.424751527796683	0.232972434996471	0.263088959036788	0.216769554256661	0.590147394623697	0.276966257680062	0.474902967208783
"MEyellow"	0.591757028355484	0.706572184377304	0.639981308522757	0.00181431086715829	0.976701398169957	0.0888016535731246	0.228040390191508	0.212214290702405	0.55395195282513	0.229443689448752	0.353435274580469
"MEpaleturquoise"	0.786395409557645	0.756581878715601	0.792169066855835	0.795377276715233	0.805614545629006	0.912170359544224	0.708008228561595	0.77905351874663	0.830603634705873	0.804266348296557	0.794006066581346
"MElightyellow"	0.828338759779908	0.280448204825337	0.592335385945493	0.853907518701588	0.470254600331207	0.268999740047951	0.432855819348469	0.415175509449996	0.443309685543916	1.80852784993779e-06	0.10481645996651
"MEsalmon"	0.390138815116064	0.844292004001034	0.883301338657578	0.431236172870637	0.467540962673339	0.504485561345849	0.749035099576099	0.603025179471403	0.650423560483792	0.0087718909697872	1.52810025036344e-09
"MEred"	7.95942097131152e-09	0.87117935650593	0.738650516755867	0.890214268305227	0.743247277876329	0.656609005473204	0.835976634370798	0.846212746957313	0.790006579198064	0.965054127818191	0.962957496041098
"MEblack"	0.370514954050945	0.13467977662726	0.506026773023077	0.375593004010924	0.519281160550993	0.888519679855282	0.338449503100875	0.580846919158039	0.0144657395753877	0.392497006135436	0.0104069267155708
"MEsaddlebrown"	0.810921062091766	0.176312875215254	0.853940773975281	0.524551412379462	0.882530671258771	0.479561345493933	0.976617805176353	0.118082385177898	0.528090707298728	0.560564185503383	9.21465398477936e-05
"MEdarkgreen"	0.0243949524990574	0.763714113052087	0.860428754647179	0.808542573430843	0.769792666081749	0.739694375723421	0.719743795829924	0.931921355183933	0.957602485494933	0.891416670961771	0.862582244624408
"MEdarkorange"	0.821697431124482	0.768653500866986	0.879429670753357	0.795880665705126	0.77358171733763	0.816742541287728	5.40680843382339e-218	0.838936373830447	0.961321145695883	0.872128374087188	0.909150372789349
